language,model,mode,layer,n,clean,intervened,ctrl_random_position,ctrl_random_direction,ctrl_same_role,specificity,cases_scored,cases_available,git_commit
cpp,qwen2515b,ablate,0,157,14.1964,-0.0899,11.0385,,,4.524,157,161,55638dc8c00b
cpp,qwen2515b,ablate,4,157,14.1964,2.3884,13.8265,,,31.914,157,161,55638dc8c00b
cpp,qwen2515b,ablate,8,157,14.1964,1.8523,12.9246,,,9.706,157,161,55638dc8c00b
cpp,qwen2515b,ablate,12,157,14.1964,2.2132,13.6278,,,21.072,157,161,55638dc8c00b
cpp,qwen2515b,ablate,16,157,14.1964,2.3181,13.7583,,,27.113,157,161,55638dc8c00b
cpp,qwen2515b,ablate,20,157,14.1964,2.6353,13.5909,,,19.092,157,161,55638dc8c00b
cpp,qwen2515b,ablate,24,157,14.1964,7.535,13.7489,,,14.885,157,161,55638dc8c00b
cpp,qwen2515b,ablate,28,157,14.1964,14.1964,13.7983,,,0.0,157,161,55638dc8c00b
cpp,qwen2515b,patch,0,157,14.1964,-0.6488,10.1133,,7.4764,3.636,157,161,55638dc8c00b
cpp,qwen2515b,patch,4,157,14.1964,-0.3064,11.7556,,7.6741,5.942,157,161,55638dc8c00b
cpp,qwen2515b,patch,8,157,14.1964,-0.0605,12.0097,,8.332,6.52,157,161,55638dc8c00b
cpp,qwen2515b,patch,12,157,14.1964,0.3936,12.1117,,8.4757,6.621,157,161,55638dc8c00b
cpp,qwen2515b,patch,16,157,14.1964,1.1582,12.4697,,8.5783,7.551,157,161,55638dc8c00b
cpp,qwen2515b,patch,20,157,14.1964,2.3642,12.6952,,8.7142,7.882,157,161,55638dc8c00b
cpp,qwen2515b,patch,24,157,14.1964,7.2743,12.6157,,10.7937,4.379,157,161,55638dc8c00b
cpp,qwen2515b,patch,28,157,14.1964,14.1964,13.8293,,13.2949,0.0,157,161,55638dc8c00b
cpp,qwen2515b,steer,0,79,13.9649,13.4629,13.9586,13.8638,,80.087,79,161,55638dc8c00b
cpp,qwen2515b,steer,4,79,13.9649,13.0481,13.9703,13.9175,,169.317,79,161,55638dc8c00b
cpp,qwen2515b,steer,8,79,13.9649,12.8812,13.9837,13.8927,,57.41,79,161,55638dc8c00b
cpp,qwen2515b,steer,12,79,13.9649,12.8373,13.9508,13.838,,80.434,79,161,55638dc8c00b
cpp,qwen2515b,steer,16,79,13.9649,12.6571,13.9155,13.8094,,26.482,79,161,55638dc8c00b
cpp,qwen2515b,steer,20,79,13.9649,12.3254,13.8964,13.7101,,23.939,79,161,55638dc8c00b
cpp,qwen2515b,steer,24,79,13.9649,11.4565,13.9091,13.7872,,45.002,79,161,55638dc8c00b
cpp,qwen2515b,steer,28,79,13.9649,13.9649,13.7134,13.9649,,0.0,79,161,55638dc8c00b
cpp,qwen25coder15b,ablate,0,158,14.7815,1.8541,11.8319,,,4.383,158,161,55638dc8c00b
cpp,qwen25coder15b,ablate,4,158,14.7815,3.6208,13.8913,,,12.538,158,161,55638dc8c00b
cpp,qwen25coder15b,ablate,8,158,14.7815,3.0632,13.5842,,,9.787,158,161,55638dc8c00b
cpp,qwen25coder15b,ablate,12,158,14.7815,3.4793,14.0769,,,16.042,158,161,55638dc8c00b
cpp,qwen25coder15b,ablate,16,158,14.7815,3.9428,14.4205,,,30.025,158,161,55638dc8c00b
cpp,qwen25coder15b,ablate,20,158,14.7815,4.1807,14.6424,,,76.199,158,161,55638dc8c00b
cpp,qwen25coder15b,ablate,24,158,14.7815,8.4186,14.363,,,15.204,158,161,55638dc8c00b
cpp,qwen25coder15b,ablate,28,158,14.7815,14.7815,14.6002,,,0.0,158,161,55638dc8c00b
cpp,qwen25coder15b,patch,0,158,14.7815,-0.6323,10.4732,,7.7963,3.578,158,161,55638dc8c00b
cpp,qwen25coder15b,patch,4,158,14.7815,-0.36,11.6494,,8.1496,4.834,158,161,55638dc8c00b
cpp,qwen25coder15b,patch,8,158,14.7815,-0.0314,12.6444,,9.1725,6.931,158,161,55638dc8c00b
cpp,qwen25coder15b,patch,12,158,14.7815,0.459,12.5616,,9.2973,6.452,158,161,55638dc8c00b
cpp,qwen25coder15b,patch,16,158,14.7815,1.2806,12.8291,,9.3747,6.915,158,161,55638dc8c00b
cpp,qwen25coder15b,patch,20,158,14.7815,2.4503,12.8678,,9.5772,6.444,158,161,55638dc8c00b
cpp,qwen25coder15b,patch,24,158,14.7815,7.2839,13.4088,,11.3797,5.462,158,161,55638dc8c00b
cpp,qwen25coder15b,patch,28,158,14.7815,14.7815,14.7815,,13.8505,,158,161,55638dc8c00b
cpp,qwen25coder15b,steer,0,79,14.616,14.3385,14.6188,14.5436,,99.332,79,161,55638dc8c00b
cpp,qwen25coder15b,steer,4,79,14.616,13.8012,14.6125,14.6016,,229.659,79,161,55638dc8c00b
