best_baseline,classes_dropped,classes_used,dC1,dC1_ci,dC1_excludes_zero,dC2,dC2_ci,dC2_excludes_zero,dC3,dC3_ci,dC3_excludes_zero,dC4,dC4_ci,dC4_excludes_zero,dC5,dC5_ci,dC5_excludes_zero,git_commit,in_rho_units,language,macro_f1,model,n_problems,n_records,probe_minus_baseline,rho,selectivity,smallest_test_class,smallest_test_n,split,baseline_covariates_only,baseline_line_masked,baseline_majority,baseline_name_only,baseline_statement_masked,baseline_window_masked
0.9799,{},"assignment,conditional_use,return_use",,,,,,,,,,,,,,,,5d8ea9371ad5,0.18,java,0.982,qwen2515b,1427,2000,0.0022,0.012,0.2552,conditional_use,15,train,0.311,0.5011,0.311,0.5218,0.9799,0.6621
0.9799,{},"assignment,conditional_use,return_use",,,,,,,,,,,,,,,,,-0.54,java,0.9756,qwen25coder15b,1427,2000,-0.0043,0.0079,0.271,conditional_use,23,train,0.311,0.5011,0.311,0.5218,0.9799,0.6621
0.9799,{},"assignment,conditional_use,return_use",,,,,,,,,,,,,,,,5d8ea9371ad5,0.86,java,0.9901,starcoder27b,1427,2000,0.0103,0.012,0.2428,conditional_use,15,train,0.311,0.5011,0.311,0.5218,0.9799,0.6621
0.9916,{},"assignment,conditional_use,loop_use,return_use",,,,,,,,,,,,,,,,195df122852d,-0.16,javascript,0.9889,qwen2515b,1351,2000,-0.0027,0.017,0.1317,loop_use,8,train,0.2255,0.3691,0.2267,0.3733,0.9916,0.5516
0.9916,{},"assignment,conditional_use,loop_use,return_use",,,,,,,,,,,,,,,,195df122852d,0.37,javascript,0.9979,qwen25coder15b,1351,2000,0.0063,0.017,0.1499,loop_use,8,train,0.2255,0.3691,0.2267,0.3733,0.9916,0.5516
0.9916,{},"assignment,conditional_use,loop_use,return_use",,,,,,,,,,,,,,,,195df122852d,-0.21,javascript,0.988,starcoder27b,1351,2000,-0.0036,0.017,0.1203,loop_use,8,train,0.2255,0.3691,0.2267,0.3733,0.9916,0.5516
0.9689,{},"assignment,conditional_use,loop_use,return_use",,,,,,,,,,,,,,,,195df122852d,1.75,php,0.9829,qwen2515b,1305,1773,0.014,0.008,0.2138,conditional_use,17,train,0.2279,0.4129,0.2282,0.5046,0.9689,0.5811
0.9689,{},"assignment,conditional_use,loop_use,return_use",,,,,,,,,,,,,,,,195df122852d,0.74,php,0.9748,qwen25coder15b,1305,1773,0.0059,0.008,0.216,conditional_use,17,train,0.2279,0.4129,0.2282,0.5046,0.9689,0.5811
0.9689,{},"assignment,conditional_use,loop_use,return_use",,,,,,,,,,,,,,,,195df122852d,2.69,php,0.9903,starcoder27b,1305,1773,0.0214,0.008,0.2401,conditional_use,17,train,0.2279,0.4129,0.2282,0.5046,0.9689,0.5811
0.9827,"{""indexing_use"": 4}","assignment,conditional_use,loop_use,return_use",0.0025,"[-0.0193, 0.0142]",False,-0.0041,"[-0.0325, 0.0088]",False,0.0012,"[-0.0323, 0.0129]",False,-0.0027,"[-0.0172, 0.0080]",False,0.0013,"[-0.0139, 0.0124]",False,15bae4b192ac,-0.17,python,0.9815,qwen2515b,1301,1996,-0.0012,0.0068,0.2798,loop_use,20,train,0.2156,0.9827,0.2171,0.4221,0.9704,0.605
0.9827,"{""indexing_use"": 4}","assignment,conditional_use,loop_use,return_use",0.0011,"[-0.0087, 0.0150]",False,-0.0101,"[-0.0228, -0.0037]",True,0.0061,"[0.0015, 0.0210]",True,-0.0037,"[-0.0162, 0.0171]",False,-0.0063,"[-0.0214, 0.0035]",False,15bae4b192ac,-0.28,python,0.9808,qwen25coder15b,1301,1996,-0.0019,0.0068,0.2721,loop_use,20,train,0.2156,0.9827,0.2171,0.4221,0.9704,0.605
0.9827,"{""indexing_use"": 4}","assignment,conditional_use,loop_use,return_use",-0.0032,"[-0.0267, 0.0057]",False,-0.0125,"[-0.0269, -0.0027]",True,-0.0059,"[-0.0344, 0.0023]",False,-0.0006,"[-0.0077, 0.0057]",False,-0.0061,"[-0.0300, 0.0037]",False,15bae4b192ac,0.7,python,0.9875,starcoder27b,1301,1996,0.0048,0.0068,0.2879,loop_use,20,train,0.2156,0.9827,0.2171,0.4221,0.9704,0.605
