strategy,layer,train_acc,test_acc,train_f1,test_f1
baseline,0,0.9831,0.9833,0.9044,0.9055
baseline,1,0.9947,0.9934,0.9666,0.9586
baseline,2,0.9966,0.9952,0.9781,0.9690
baseline,3,0.9986,0.9974,0.9909,0.9828
baseline,4,0.9989,0.9978,0.9927,0.9852
baseline,5,0.9993,0.9976,0.9950,0.9841
baseline,6,0.9994,0.9981,0.9958,0.9876
baseline,7,0.9993,0.9979,0.9950,0.9863
baseline,8,0.9993,0.9976,0.9950,0.9842
baseline,9,0.9995,0.9975,0.9966,0.9837
baseline,10,0.9997,0.9975,0.9979,0.9833
baseline,11,0.9996,0.9980,0.9974,0.9866
baseline,12,0.9997,0.9977,0.9977,0.9844
baseline,13,0.9998,0.9980,0.9985,0.9869
baseline,14,0.9999,0.9979,0.9992,0.9861
baseline,15,0.9999,0.9981,0.9993,0.9872
baseline,16,0.9999,0.9980,0.9994,0.9868
baseline,17,0.9999,0.9975,0.9994,0.9836
baseline,18,0.9999,0.9973,0.9994,0.9819
baseline,19,0.9999,0.9969,0.9991,0.9792
baseline,20,0.9999,0.9964,0.9994,0.9764
baseline,21,0.9999,0.9969,0.9994,0.9795
baseline,22,0.9999,0.9957,0.9996,0.9717
baseline,23,0.9999,0.9962,0.9996,0.9750
baseline,24,0.9999,0.9973,0.9993,0.9819
baseline,25,1.0000,0.9969,0.9997,0.9790
baseline,26,1.0000,0.9966,0.9997,0.9777
baseline,27,1.0000,0.9964,0.9999,0.9759
baseline,28,1.0000,0.9957,1.0000,0.9718
random_nouns,0,0.8474,0.8479,0.6338,0.6330
random_nouns,1,0.9645,0.9615,0.8415,0.8255
random_nouns,2,0.9781,0.9740,0.8905,0.8679
random_nouns,3,0.9976,0.9951,0.9853,0.9701
random_nouns,4,0.9978,0.9945,0.9866,0.9664
random_nouns,5,0.9976,0.9929,0.9853,0.9575
random_nouns,6,0.9988,0.9944,0.9925,0.9662
random_nouns,7,0.9989,0.9955,0.9933,0.9726
random_nouns,8,0.9985,0.9952,0.9908,0.9707
random_nouns,9,0.9994,0.9957,0.9963,0.9739
random_nouns,10,0.9995,0.9949,0.9967,0.9690
random_nouns,11,0.9995,0.9946,0.9969,0.9668
random_nouns,12,0.9996,0.9953,0.9976,0.9712
random_nouns,13,0.9995,0.9947,0.9970,0.9673
random_nouns,14,0.9997,0.9946,0.9979,0.9666
random_nouns,15,0.9998,0.9952,0.9985,0.9706
random_nouns,16,0.9997,0.9945,0.9984,0.9662
random_nouns,17,0.9997,0.9944,0.9984,0.9655
random_nouns,18,0.9998,0.9937,0.9987,0.9616
random_nouns,19,0.9997,0.9944,0.9984,0.9653
random_nouns,20,0.9998,0.9936,0.9986,0.9607
random_nouns,21,0.9997,0.9939,0.9983,0.9622
random_nouns,22,0.9998,0.9923,0.9985,0.9528
random_nouns,23,0.9998,0.9932,0.9989,0.9580
random_nouns,24,0.9998,0.9925,0.9989,0.9537
random_nouns,25,1.0000,0.9922,0.9999,0.9526
random_nouns,26,1.0000,0.9928,1.0000,0.9558
random_nouns,27,1.0000,0.9920,1.0000,0.9507
random_nouns,28,1.0000,0.9905,1.0000,0.9425
single_chars,0,0.8595,0.8584,0.6652,0.6642
single_chars,1,0.9353,0.9334,0.7818,0.7723
single_chars,2,0.9528,0.9474,0.8237,0.8029
single_chars,3,0.9844,0.9776,0.9271,0.8959
single_chars,4,0.9853,0.9783,0.9307,0.8986
single_chars,5,0.9887,0.9807,0.9455,0.9068
single_chars,6,0.9915,0.9821,0.9578,0.9126
single_chars,7,0.9924,0.9844,0.9621,0.9230
single_chars,8,0.9913,0.9843,0.9568,0.9223
single_chars,9,0.9919,0.9846,0.9599,0.9235
single_chars,10,0.9921,0.9825,0.9604,0.9132
single_chars,11,0.9908,0.9814,0.9548,0.9089
single_chars,12,0.9907,0.9808,0.9543,0.9061
single_chars,13,0.9910,0.9788,0.9554,0.8974
single_chars,14,0.9912,0.9792,0.9564,0.8985
single_chars,15,0.9914,0.9795,0.9574,0.9002
single_chars,16,0.9895,0.9801,0.9490,0.9032
single_chars,17,0.9893,0.9795,0.9478,0.9013
single_chars,18,0.9898,0.9787,0.9502,0.8957
single_chars,19,0.9900,0.9783,0.9509,0.8938
single_chars,20,0.9892,0.9771,0.9477,0.8903
single_chars,21,0.9877,0.9763,0.9408,0.8867
single_chars,22,0.9868,0.9745,0.9373,0.8800
single_chars,23,0.9868,0.9750,0.9371,0.8821
single_chars,24,0.9854,0.9758,0.9314,0.8867
single_chars,25,0.9860,0.9754,0.9337,0.8844
single_chars,26,0.9852,0.9730,0.9303,0.8748
single_chars,27,0.9870,0.9742,0.9382,0.8770
single_chars,28,0.9836,0.9693,0.9240,0.8591
all_same,0,0.9997,0.9997,0.9996,0.9996
all_same,1,0.9998,0.9997,0.9997,0.9996
all_same,2,0.9998,0.9997,0.9997,0.9995
all_same,3,0.9998,0.9997,0.9997,0.9996
all_same,4,0.9998,0.9997,0.9997,0.9996
all_same,5,0.9998,0.9997,0.9998,0.9996
all_same,6,0.9998,0.9997,0.9997,0.9996
all_same,7,0.9998,0.9997,0.9998,0.9995
all_same,8,0.9998,0.9997,0.9997,0.9996
all_same,9,0.9998,0.9997,0.9998,0.9996
all_same,10,0.9999,0.9997,0.9998,0.9996
all_same,11,0.9999,0.9998,0.9998,0.9996
all_same,12,0.9999,0.9997,0.9998,0.9996
all_same,13,0.9998,0.9997,0.9997,0.9996
all_same,14,0.9999,0.9997,0.9998,0.9996
all_same,15,0.9999,0.9997,0.9999,0.9996
all_same,16,0.9999,0.9998,0.9998,0.9996
all_same,17,0.9999,0.9997,0.9998,0.9995
all_same,18,0.9999,0.9997,0.9999,0.9996
all_same,19,0.9999,0.9997,0.9999,0.9995
all_same,20,0.9999,0.9997,0.9999,0.9996
all_same,21,0.9999,0.9997,0.9998,0.9996
all_same,22,1.0000,0.9998,0.9999,0.9996
all_same,23,0.9999,0.9998,0.9999,0.9996
all_same,24,0.9999,0.9997,0.9999,0.9996
all_same,25,1.0000,0.9998,0.9999,0.9996
all_same,26,0.9999,0.9998,0.9999,0.9997
all_same,27,1.0000,0.9998,0.9999,0.9996
all_same,28,1.0000,0.9997,0.9999,0.9996
numeric_vars,0,0.6923,0.6920,0.5566,0.5565
numeric_vars,1,0.9314,0.9269,0.8128,0.8031
numeric_vars,2,0.9487,0.9428,0.8497,0.8343
numeric_vars,3,0.9680,0.9633,0.8974,0.8835
numeric_vars,4,0.9716,0.9655,0.9076,0.8882
numeric_vars,5,0.9735,0.9679,0.9127,0.8952
numeric_vars,6,0.9755,0.9684,0.9188,0.8963
numeric_vars,7,0.9769,0.9704,0.9227,0.9016
numeric_vars,8,0.9776,0.9708,0.9249,0.9033
numeric_vars,9,0.9775,0.9700,0.9247,0.9007
numeric_vars,10,0.9772,0.9713,0.9237,0.9035
numeric_vars,11,0.9776,0.9703,0.9248,0.9007
numeric_vars,12,0.9805,0.9715,0.9337,0.9038
numeric_vars,13,0.9808,0.9719,0.9346,0.9052
numeric_vars,14,0.9814,0.9722,0.9364,0.9053
numeric_vars,15,0.9835,0.9742,0.9428,0.9114
numeric_vars,16,0.9836,0.9758,0.9433,0.9158
numeric_vars,17,0.9841,0.9760,0.9448,0.9172
numeric_vars,18,0.9828,0.9755,0.9408,0.9155
numeric_vars,19,0.9850,0.9761,0.9475,0.9172
numeric_vars,20,0.9856,0.9768,0.9496,0.9198
numeric_vars,21,0.9864,0.9774,0.9522,0.9210
numeric_vars,22,0.9869,0.9779,0.9537,0.9230
numeric_vars,23,0.9879,0.9783,0.9571,0.9240
numeric_vars,24,0.9863,0.9768,0.9518,0.9192
numeric_vars,25,0.9864,0.9766,0.9521,0.9186
numeric_vars,26,0.9860,0.9759,0.9510,0.9166
numeric_vars,27,0.9862,0.9766,0.9515,0.9191
numeric_vars,28,0.9838,0.9741,0.9438,0.9111
misleading_iterator,0,0.9996,0.9996,0.9980,0.9977
misleading_iterator,1,0.9997,0.9997,0.9984,0.9983
misleading_iterator,2,0.9997,0.9997,0.9986,0.9986
misleading_iterator,3,1.0000,0.9999,0.9999,0.9997
misleading_iterator,4,0.9999,0.9999,0.9996,0.9994
misleading_iterator,5,1.0000,0.9999,1.0000,0.9994
misleading_iterator,6,1.0000,0.9998,1.0000,0.9991
misleading_iterator,7,1.0000,0.9999,0.9998,0.9997
misleading_iterator,8,1.0000,0.9999,0.9999,0.9997
misleading_iterator,9,1.0000,0.9998,0.9999,0.9989
misleading_iterator,10,1.0000,0.9998,0.9999,0.9991
misleading_iterator,11,1.0000,0.9999,1.0000,0.9994
misleading_iterator,12,1.0000,0.9998,1.0000,0.9991
misleading_iterator,13,1.0000,0.9999,1.0000,0.9994
misleading_iterator,14,1.0000,0.9999,1.0000,0.9994
misleading_iterator,15,1.0000,0.9998,1.0000,0.9991
misleading_iterator,16,0.9999,0.9996,0.9996,0.9980
misleading_iterator,17,1.0000,0.9997,1.0000,0.9986
misleading_iterator,18,0.9999,0.9998,0.9997,0.9989
misleading_iterator,19,1.0000,0.9997,1.0000,0.9986
misleading_iterator,20,1.0000,0.9997,1.0000,0.9983
misleading_iterator,21,1.0000,0.9998,1.0000,0.9989
misleading_iterator,22,1.0000,0.9997,1.0000,0.9986
misleading_iterator,23,1.0000,0.9997,1.0000,0.9983
misleading_iterator,24,1.0000,0.9996,1.0000,0.9977
misleading_iterator,25,1.0000,0.9997,1.0000,0.9983
misleading_iterator,26,1.0000,0.9996,1.0000,0.9977
misleading_iterator,27,1.0000,0.9996,1.0000,0.9977
misleading_iterator,28,1.0000,0.9983,1.0000,0.9914
