strategy,layer,train_acc,test_acc,train_f1,test_f1
baseline,0,0.9814,0.9816,0.8971,0.8980
baseline,1,0.9959,0.9946,0.9737,0.9652
baseline,2,0.9968,0.9951,0.9791,0.9683
baseline,3,0.9992,0.9981,0.9947,0.9876
baseline,4,0.9993,0.9983,0.9954,0.9886
baseline,5,0.9997,0.9986,0.9979,0.9904
baseline,6,0.9997,0.9983,0.9978,0.9889
baseline,7,0.9996,0.9982,0.9971,0.9879
baseline,8,0.9996,0.9983,0.9975,0.9885
baseline,9,0.9996,0.9983,0.9976,0.9885
baseline,10,0.9997,0.9984,0.9978,0.9893
baseline,11,0.9998,0.9985,0.9987,0.9896
baseline,12,0.9998,0.9985,0.9986,0.9896
baseline,13,0.9998,0.9983,0.9989,0.9885
baseline,14,0.9999,0.9983,0.9995,0.9889
baseline,15,0.9998,0.9981,0.9989,0.9874
baseline,16,0.9999,0.9981,0.9995,0.9871
baseline,17,0.9998,0.9985,0.9989,0.9896
baseline,18,0.9999,0.9979,0.9995,0.9857
baseline,19,0.9999,0.9979,0.9995,0.9857
baseline,20,0.9999,0.9976,0.9996,0.9839
baseline,21,0.9999,0.9973,0.9994,0.9821
baseline,22,1.0000,0.9977,0.9998,0.9846
baseline,23,0.9999,0.9979,0.9994,0.9860
baseline,24,0.9999,0.9979,0.9994,0.9857
baseline,25,0.9999,0.9978,0.9996,0.9850
baseline,26,0.9999,0.9976,0.9992,0.9839
baseline,27,0.9999,0.9975,0.9996,0.9832
baseline,28,1.0000,0.9975,0.9998,0.9833
baseline,29,1.0000,0.9974,0.9997,0.9824
baseline,30,0.9999,0.9972,0.9996,0.9810
baseline,31,1.0000,0.9972,0.9998,0.9814
baseline,32,1.0000,0.9972,0.9999,0.9814
random_nouns,0,0.7928,0.7901,0.6149,0.6126
random_nouns,1,0.9715,0.9631,0.8919,0.8621
random_nouns,2,0.9907,0.9844,0.9596,0.9334
random_nouns,3,0.9988,0.9961,0.9946,0.9822
random_nouns,4,0.9988,0.9965,0.9945,0.9841
random_nouns,5,0.9997,0.9969,0.9986,0.9853
random_nouns,6,0.9998,0.9968,0.9989,0.9852
random_nouns,7,0.9999,0.9969,0.9998,0.9857
random_nouns,8,0.9999,0.9967,0.9993,0.9847
random_nouns,9,1.0000,0.9967,0.9998,0.9847
random_nouns,10,0.9999,0.9962,0.9997,0.9823
random_nouns,11,0.9997,0.9962,0.9988,0.9822
random_nouns,12,1.0000,0.9953,0.9998,0.9781
random_nouns,13,1.0000,0.9953,0.9998,0.9779
random_nouns,14,1.0000,0.9950,0.9999,0.9767
random_nouns,15,1.0000,0.9939,0.9999,0.9714
random_nouns,16,0.9999,0.9933,0.9996,0.9689
random_nouns,17,0.9999,0.9927,0.9995,0.9660
random_nouns,18,1.0000,0.9930,0.9999,0.9675
random_nouns,19,1.0000,0.9930,0.9998,0.9677
