layer,r,abs_r,evr_pc1
0,0.883461,0.883461,0.48108
1,0.89837,0.89837,0.446606
2,-0.914279,0.914279,0.39124
3,-0.939375,0.939375,0.373117
4,0.941026,0.941026,0.369915
5,-0.862136,0.862136,0.369048
6,-0.82759,0.82759,0.361266
7,-0.843702,0.843702,0.342445
8,0.895673,0.895673,0.339452
9,-0.919471,0.919471,0.332718
10,-0.879951,0.879951,0.327421
11,-0.893122,0.893122,0.301522
12,-0.91651,0.91651,0.291851
13,0.903709,0.903709,0.314201
14,0.897667,0.897667,0.308859
15,0.894254,0.894254,0.30932
16,0.882167,0.882167,0.302876
17,-0.873785,0.873785,0.295541
18,-0.872816,0.872816,0.288884
19,-0.873475,0.873475,0.298879
20,-0.902821,0.902821,0.291157
21,-0.885755,0.885755,0.275554
22,-0.858713,0.858713,0.264587
23,-0.841896,0.841896,0.251916
24,-0.811933,0.811933,0.242361
25,-0.773578,0.773578,0.253051
26,-0.694001,0.694001,0.255076
27,-0.731551,0.731551,0.237314
28,-0.576311,0.576311,0.24217
