role,source,target,n_occurrences,delta,ci_low,ci_high,excludes_zero
accumulator,javascript,php,489,-0.3148,-0.4027,-0.2141,True
accumulator,javascript,python,557,-0.2534,-0.3333,-0.1779,True
accumulator,php,javascript,519,-0.3019,-0.4046,-0.2108,True
accumulator,php,python,528,-0.1767,-0.2686,-0.0828,True
accumulator,python,javascript,532,-0.2431,-0.3354,-0.1505,True
accumulator,python,php,464,-0.3372,-0.4433,-0.1956,True
index_key,javascript,php,489,-0.0692,-0.1771,0.0344,False
index_key,javascript,python,557,-0.1586,-0.3064,-0.0509,True
index_key,php,javascript,519,-0.1306,-0.2401,-0.0392,True
index_key,php,python,528,-0.1578,-0.2973,-0.0231,True
index_key,python,javascript,532,-0.114,-0.1999,-0.0366,True
index_key,python,php,464,-0.3175,-0.4101,-0.2386,True
iterator,javascript,php,489,-0.3464,-0.5071,0.0,False
iterator,javascript,python,557,-0.1345,-0.3012,-0.0308,True
iterator,php,javascript,519,-0.4284,-0.5078,-0.0005,True
iterator,php,python,528,-0.0743,-0.2253,0.0005,False
iterator,python,javascript,532,-0.1617,-0.3924,0.0183,False
iterator,python,php,464,-0.1896,-0.3463,-0.001,True
