role,source,target,n_train,n_test,pairing,name_only,statement_masked,line_masked,window_masked,masked_best,majority,shuffled_labels,git_commit
accumulator,javascript,php,4879,4817,matched on 678 shared problems,0.827,0.9035,0.9352,0.9516,0.9516,0.4255,0.4764,c4a7f9472490
accumulator,javascript,python,13019,15698,matched on 1624 shared problems,0.8507,0.745,0.7117,0.8532,0.8532,0.3692,0.5083,6fb690808792
accumulator,php,javascript,4817,4879,matched on 678 shared problems,0.8369,0.8887,0.95,0.9527,0.9527,0.4243,0.497,c4a7f9472490
accumulator,php,python,3530,4316,matched on 503 shared problems,0.813,0.8118,0.7104,0.8406,0.8406,0.3749,0.5316,c4a7f9472490
accumulator,python,javascript,15698,13019,matched on 1624 shared problems,0.8439,0.7274,0.737,0.8093,0.8093,0.4205,0.4913,174323674a53
accumulator,python,php,4316,3530,matched on 503 shared problems,0.8019,0.7648,0.7751,0.8649,0.8649,0.4166,0.5164,174323674a53
index_key,javascript,php,4879,4817,matched on 678 shared problems,0.763,0.9018,0.9403,0.9483,0.9483,0.4561,0.4705,83cbd92cb34d
index_key,javascript,python,13019,15698,matched on 1624 shared problems,0.756,0.8246,0.7573,0.8968,0.8968,0.4119,0.5033,83cbd92cb34d
index_key,php,javascript,4817,4879,matched on 678 shared problems,0.7735,0.8612,0.896,0.9504,0.9504,0.4552,0.4687,83cbd92cb34d
index_key,php,python,3530,4316,matched on 503 shared problems,0.7255,0.8061,0.7329,0.861,0.861,0.4195,0.4981,83cbd92cb34d
index_key,python,javascript,15698,13019,matched on 1624 shared problems,0.7968,0.8001,0.7735,0.9106,0.9106,0.4406,0.4859,c4a7f9472490
index_key,python,php,4316,3530,matched on 503 shared problems,0.7602,0.7662,0.8064,0.8965,0.8965,0.439,0.4862,c4a7f9472490
iterator,javascript,php,4879,4817,matched on 678 shared problems,0.7878,0.9196,0.9114,0.9135,0.9196,0.4796,0.4527,c4a7f9472490
iterator,javascript,python,13019,15698,matched on 1624 shared problems,0.6885,0.6642,0.5895,0.717,0.717,0.4755,0.4969,c4a7f9472490
iterator,php,javascript,4817,4879,matched on 678 shared problems,0.8368,0.9132,0.9787,0.9595,0.9787,0.4803,0.4702,c4a7f9472490
iterator,php,python,3530,4316,matched on 503 shared problems,0.7287,0.5301,0.4954,0.6087,0.6087,0.4732,0.4587,c4a7f9472490
iterator,python,javascript,15698,13019,matched on 1624 shared problems,0.6469,0.6803,0.5447,0.7702,0.7702,0.4907,0.4472,c4a7f9472490
iterator,python,php,4316,3530,matched on 503 shared problems,0.7121,0.7121,0.6,0.8386,0.8386,0.4891,0.4717,c4a7f9472490
