role,condition,source,target,n_train,n_test,pairing,name_only,statement_masked,line_masked,window_masked,masked_best,majority,shuffled_labels,rho,smallest_class,smallest_n,git_commit,probe_transfer,probe_indomain,probe_shuffled_source,probe_rho,probe_model
accumulator,original,javascript,php,4879,4817,matched on 678 shared problems,0.827,0.9035,0.9352,0.9516,0.9516,0.4255,0.4764,0.0003,other,1250,c4a7f9472490,,,,,
accumulator,original,javascript,python,13019,15698,matched on 1624 shared problems,0.8507,0.745,0.7117,0.8532,0.8532,0.3692,0.5083,0.0001,other,6509,6fb690808792,,,,,
accumulator,original,php,javascript,4817,4879,matched on 678 shared problems,0.8369,0.8887,0.95,0.9527,0.9527,0.4243,0.497,0.0003,other,1283,c4a7f9472490,,,,,
accumulator,original,php,python,3530,4316,matched on 503 shared problems,0.813,0.8118,0.7104,0.8406,0.8406,0.3749,0.5316,0.0002,other,1728,c4a7f9472490,,,,,
accumulator,original,python,javascript,15698,13019,matched on 1624 shared problems,0.8439,0.7274,0.737,0.8093,0.8093,0.4205,0.4913,0.0001,other,3574,174323674a53,,,,,
accumulator,original,python,php,4316,3530,matched on 503 shared problems,0.8019,0.7648,0.7751,0.8649,0.8649,0.4166,0.5164,0.0003,other,1009,174323674a53,,,,,
index_key,original,javascript,php,4879,4817,matched on 678 shared problems,0.763,0.9018,0.9403,0.9483,0.9483,0.4561,0.4705,0.0004,target,777,83cbd92cb34d,,,,,
index_key,original,javascript,python,13019,15698,matched on 1624 shared problems,0.756,0.8246,0.7573,0.8968,0.8968,0.4119,0.5033,0.0001,target,4703,83cbd92cb34d,,,,,
index_key,original,php,javascript,4817,4879,matched on 678 shared problems,0.7735,0.8612,0.896,0.9504,0.9504,0.4552,0.4687,0.0004,target,802,83cbd92cb34d,,,,,
index_key,original,php,python,3530,4316,matched on 503 shared problems,0.7255,0.8061,0.7329,0.861,0.861,0.4195,0.4981,0.0003,target,1197,83cbd92cb34d,,,,,
index_key,original,python,javascript,15698,13019,matched on 1624 shared problems,0.7968,0.8001,0.7735,0.9106,0.9106,0.4406,0.4859,0.0001,target,2766,c4a7f9472490,,,,,
index_key,original,python,php,4316,3530,matched on 503 shared problems,0.7602,0.7662,0.8064,0.8965,0.8965,0.439,0.4862,0.0004,target,768,c4a7f9472490,,,,,
