role,source,target,feature,macro_f1,ci_low,ci_high,n_problems
accumulator,javascript,php,window_masked,0.9253,0.8975,0.9458,409
accumulator,javascript,python,window_masked,0.8454,0.8124,0.8732,389
accumulator,php,javascript,window_masked,0.9526,0.9289,0.9682,409
accumulator,php,python,window_masked,0.8443,0.81,0.873,378
accumulator,python,javascript,window_masked,0.8532,0.8147,0.8859,389
accumulator,python,php,window_masked,0.8608,0.8218,0.8912,378
index_key,javascript,php,window_masked,0.8747,0.8229,0.9112,409
index_key,javascript,python,window_masked,0.8776,0.836,0.9088,389
index_key,php,javascript,window_masked,0.9309,0.9019,0.9539,409
index_key,php,python,window_masked,0.8463,0.8013,0.8824,378
index_key,python,javascript,window_masked,0.8867,0.8408,0.9189,389
index_key,python,php,window_masked,0.8808,0.8305,0.9151,378
iterator,javascript,php,window_masked,0.8943,0.8079,0.9446,409
iterator,javascript,python,window_masked,0.608,0.5537,0.668,389
iterator,php,javascript,window_masked,0.9724,0.9078,0.9939,409
iterator,php,python,window_masked,0.5643,0.5204,0.6208,378
iterator,python,javascript,window_masked,0.848,0.7322,0.9159,389
iterator,python,php,window_masked,0.8131,0.7045,0.8912,378
ALL,close-pair,python-pairs,boundary effect,-0.1143,-0.1474,-0.0805,432
