role,source,target,baseline_macro_f1,ablated,macro_f1,delta
iterator,php,javascript,0.9654,terminator,0.9496,-0.0159
iterator,php,javascript,0.9654,brace,0.9645,-0.001
iterator,php,javascript,0.9654,bracket,0.9711,0.0057
iterator,php,javascript,0.9654,paren,0.9609,-0.0045
iterator,php,javascript,0.9654,operator,0.9441,-0.0213
iterator,php,python,0.5756,terminator,0.5786,0.003
iterator,php,python,0.5756,brace,0.575,-0.0006
iterator,php,python,0.5756,bracket,0.5733,-0.0023
iterator,php,python,0.5756,paren,0.5947,0.0191
iterator,php,python,0.5756,operator,0.5801,0.0045
