strategy,layer,train_acc,test_acc,train_f1,test_f1
baseline,0,0.9845,0.9825,0.8289,0.8062
baseline,1,0.9984,0.9961,0.9746,0.9373
baseline,2,0.9984,0.9961,0.9743,0.9378
baseline,3,0.9991,0.9976,0.9856,0.9614
baseline,4,0.9994,0.9977,0.9897,0.9621
baseline,5,0.9996,0.9981,0.9931,0.9676
baseline,6,0.9997,0.9982,0.9950,0.9708
baseline,7,0.9997,0.9987,0.9956,0.9784
baseline,8,0.9997,0.9984,0.9957,0.9728
baseline,9,0.9998,0.9987,0.9961,0.9790
baseline,10,0.9998,0.9988,0.9966,0.9795
baseline,11,0.9998,0.9986,0.9963,0.9775
baseline,12,0.9998,0.9986,0.9960,0.9767
baseline,13,0.9997,0.9987,0.9959,0.9785
baseline,14,0.9997,0.9986,0.9957,0.9761
baseline,15,0.9998,0.9988,0.9965,0.9809
baseline,16,0.9998,0.9989,0.9969,0.9823
baseline,17,0.9998,0.9989,0.9972,0.9815
baseline,18,0.9998,0.9990,0.9973,0.9832
baseline,19,0.9998,0.9987,0.9968,0.9789
baseline,20,0.9998,0.9987,0.9972,0.9788
baseline,21,0.9998,0.9987,0.9971,0.9782
baseline,22,0.9998,0.9984,0.9960,0.9741
baseline,23,0.9998,0.9985,0.9961,0.9753
baseline,24,0.9996,0.9985,0.9938,0.9745
baseline,25,0.9997,0.9985,0.9952,0.9758
baseline,26,0.9998,0.9986,0.9960,0.9761
baseline,27,0.9996,0.9985,0.9933,0.9758
baseline,28,0.9998,0.9984,0.9974,0.9740
random_nouns,0,0.8463,0.8417,0.5455,0.5295
random_nouns,1,0.9965,0.9855,0.9517,0.7973
random_nouns,2,0.9957,0.9877,0.9412,0.8292
random_nouns,3,0.9995,0.9962,0.9918,0.9403
random_nouns,4,0.9995,0.9963,0.9927,0.9403
random_nouns,5,0.9997,0.9964,0.9949,0.9432
random_nouns,6,0.9998,0.9968,0.9965,0.9489
random_nouns,7,0.9999,0.9989,0.9979,0.9822
random_nouns,8,0.9998,0.9985,0.9964,0.9755
random_nouns,9,0.9999,0.9990,0.9980,0.9829
random_nouns,10,0.9999,0.9991,0.9984,0.9858
random_nouns,11,0.9997,0.9989,0.9958,0.9812
random_nouns,12,0.9998,0.9987,0.9976,0.9791
random_nouns,13,0.9999,0.9992,0.9983,0.9864
random_nouns,14,0.9998,0.9991,0.9976,0.9855
random_nouns,15,0.9999,0.9993,0.9990,0.9891
random_nouns,16,0.9999,0.9993,0.9988,0.9888
random_nouns,17,1.0000,0.9992,0.9993,0.9862
random_nouns,18,0.9999,0.9992,0.9990,0.9865
random_nouns,19,1.0000,0.9992,0.9993,0.9864
random_nouns,20,0.9999,0.9991,0.9984,0.9852
random_nouns,21,0.9999,0.9991,0.9984,0.9853
random_nouns,22,0.9998,0.9989,0.9976,0.9827
random_nouns,23,0.9998,0.9989,0.9973,0.9826
random_nouns,24,0.9998,0.9989,0.9974,0.9821
random_nouns,25,0.9998,0.9989,0.9974,0.9822
random_nouns,26,0.9998,0.9989,0.9972,0.9821
random_nouns,27,0.9999,0.9990,0.9979,0.9829
random_nouns,28,0.9999,0.9988,0.9979,0.9801
single_chars,0,0.8218,0.8225,0.5297,0.5299
single_chars,1,0.9920,0.9832,0.9026,0.8015
single_chars,2,0.9916,0.9835,0.8989,0.8080
single_chars,3,0.9990,0.9949,0.9848,0.9268
single_chars,4,0.9992,0.9947,0.9881,0.9230
single_chars,5,0.9995,0.9952,0.9920,0.9299
single_chars,6,0.9995,0.9953,0.9931,0.9313
single_chars,7,0.9998,0.9976,0.9965,0.9646
single_chars,8,0.9997,0.9973,0.9951,0.9599
single_chars,9,0.9996,0.9971,0.9944,0.9570
single_chars,10,0.9996,0.9972,0.9944,0.9579
single_chars,11,0.9998,0.9966,0.9967,0.9501
single_chars,12,0.9997,0.9962,0.9956,0.9432
single_chars,13,0.9998,0.9965,0.9964,0.9470
single_chars,14,0.9998,0.9961,0.9966,0.9415
single_chars,15,0.9998,0.9970,0.9976,0.9546
single_chars,16,0.9998,0.9968,0.9969,0.9514
single_chars,17,0.9998,0.9970,0.9965,0.9551
single_chars,18,0.9997,0.9968,0.9957,0.9519
single_chars,19,0.9998,0.9966,0.9969,0.9493
single_chars,20,0.9998,0.9966,0.9965,0.9489
single_chars,21,0.9997,0.9964,0.9962,0.9456
single_chars,22,0.9997,0.9963,0.9957,0.9447
single_chars,23,0.9998,0.9961,0.9963,0.9419
single_chars,24,0.9997,0.9960,0.9961,0.9403
single_chars,25,0.9997,0.9960,0.9958,0.9394
single_chars,26,0.9997,0.9959,0.9959,0.9391
single_chars,27,0.9998,0.9960,0.9963,0.9395
single_chars,28,0.9998,0.9958,0.9964,0.9369
all_same,0,1.0000,1.0000,1.0000,1.0000
all_same,1,1.0000,1.0000,1.0000,1.0000
all_same,2,1.0000,1.0000,1.0000,1.0000
all_same,3,1.0000,1.0000,1.0000,0.9999
all_same,4,1.0000,0.9999,1.0000,0.9998
all_same,5,1.0000,0.9999,1.0000,0.9998
all_same,6,1.0000,0.9999,1.0000,0.9999
all_same,7,1.0000,0.9999,1.0000,0.9999
all_same,8,1.0000,0.9999,1.0000,0.9998
all_same,9,1.0000,1.0000,1.0000,1.0000
all_same,10,1.0000,0.9999,1.0000,0.9999
all_same,11,1.0000,1.0000,1.0000,0.9999
all_same,12,1.0000,0.9999,1.0000,0.9999
all_same,13,1.0000,0.9999,1.0000,0.9999
all_same,14,1.0000,1.0000,1.0000,1.0000
all_same,15,1.0000,0.9999,1.0000,0.9999
all_same,16,1.0000,0.9999,1.0000,0.9998
all_same,17,1.0000,0.9999,1.0000,0.9999
all_same,18,1.0000,1.0000,1.0000,0.9999
all_same,19,1.0000,1.0000,1.0000,0.9999
all_same,20,1.0000,0.9998,1.0000,0.9998
all_same,21,1.0000,0.9999,1.0000,0.9999
all_same,22,1.0000,0.9999,1.0000,0.9999
all_same,23,1.0000,0.9999,1.0000,0.9999
all_same,24,1.0000,0.9999,1.0000,0.9999
all_same,25,1.0000,0.9999,1.0000,0.9999
all_same,26,1.0000,0.9999,1.0000,0.9998
all_same,27,1.0000,0.9999,1.0000,0.9998
all_same,28,1.0000,0.9995,0.9999,0.9992
numeric_vars,0,0.6316,0.6337,0.4461,0.4452
numeric_vars,1,0.9820,0.9759,0.8690,0.8268
numeric_vars,2,0.9857,0.9799,0.8908,0.8483
numeric_vars,3,0.9912,0.9867,0.9267,0.8886
numeric_vars,4,0.9925,0.9870,0.9363,0.8907
numeric_vars,5,0.9933,0.9877,0.9429,0.8945
numeric_vars,6,0.9946,0.9889,0.9528,0.9024
numeric_vars,7,0.9960,0.9919,0.9646,0.9261
numeric_vars,8,0.9964,0.9923,0.9673,0.9294
numeric_vars,9,0.9965,0.9926,0.9680,0.9315
numeric_vars,10,0.9969,0.9925,0.9718,0.9309
numeric_vars,11,0.9977,0.9938,0.9791,0.9415
numeric_vars,12,0.9981,0.9936,0.9823,0.9404
numeric_vars,13,0.9980,0.9940,0.9814,0.9433
numeric_vars,14,0.9984,0.9943,0.9850,0.9461
numeric_vars,15,0.9987,0.9949,0.9876,0.9514
numeric_vars,16,0.9988,0.9951,0.9887,0.9528
numeric_vars,17,0.9991,0.9959,0.9911,0.9603
numeric_vars,18,0.9990,0.9961,0.9910,0.9616
numeric_vars,19,0.9992,0.9961,0.9921,0.9623
numeric_vars,20,0.9992,0.9965,0.9925,0.9654
numeric_vars,21,0.9992,0.9965,0.9926,0.9662
numeric_vars,22,0.9992,0.9965,0.9920,0.9659
numeric_vars,23,0.9991,0.9962,0.9914,0.9631
numeric_vars,24,0.9991,0.9963,0.9919,0.9642
numeric_vars,25,0.9991,0.9962,0.9911,0.9629
numeric_vars,26,0.9991,0.9960,0.9917,0.9613
numeric_vars,27,0.9992,0.9960,0.9924,0.9614
numeric_vars,28,0.9993,0.9960,0.9932,0.9607
misleading_class_struct,0,0.9547,0.9527,0.7186,0.7076
misleading_class_struct,1,0.9985,0.9946,0.9807,0.9327
misleading_class_struct,2,0.9984,0.9944,0.9806,0.9308
misleading_class_struct,3,0.9997,0.9975,0.9957,0.9679
misleading_class_struct,4,0.9996,0.9972,0.9954,0.9645
misleading_class_struct,5,0.9998,0.9976,0.9970,0.9688
misleading_class_struct,6,0.9998,0.9973,0.9972,0.9658
misleading_class_struct,7,0.9998,0.9985,0.9975,0.9801
misleading_class_struct,8,0.9998,0.9981,0.9973,0.9752
misleading_class_struct,9,0.9997,0.9981,0.9966,0.9757
misleading_class_struct,10,0.9997,0.9980,0.9960,0.9741
misleading_class_struct,11,0.9998,0.9978,0.9974,0.9712
misleading_class_struct,12,0.9997,0.9972,0.9967,0.9638
misleading_class_struct,13,0.9997,0.9970,0.9955,0.9615
misleading_class_struct,14,0.9997,0.9972,0.9964,0.9634
misleading_class_struct,15,0.9998,0.9976,0.9973,0.9684
misleading_class_struct,16,0.9997,0.9976,0.9965,0.9692
misleading_class_struct,17,0.9997,0.9973,0.9967,0.9647
misleading_class_struct,18,0.9998,0.9974,0.9977,0.9661
misleading_class_struct,19,0.9997,0.9972,0.9967,0.9630
misleading_class_struct,20,0.9997,0.9969,0.9964,0.9593
misleading_class_struct,21,0.9998,0.9968,0.9968,0.9588
misleading_class_struct,22,0.9998,0.9967,0.9973,0.9577
misleading_class_struct,23,0.9998,0.9964,0.9971,0.9540
misleading_class_struct,24,0.9998,0.9965,0.9972,0.9542
misleading_class_struct,25,0.9998,0.9964,0.9974,0.9534
misleading_class_struct,26,0.9998,0.9961,0.9975,0.9503
misleading_class_struct,27,0.9998,0.9963,0.9977,0.9519
misleading_class_struct,28,0.9997,0.9957,0.9960,0.9450
