strategy,layer,train_acc,test_acc,train_f1,test_f1
baseline,0,0.9828,0.9814,0.9043,0.8928
baseline,1,0.9981,0.9929,0.9879,0.9524
baseline,2,0.9978,0.9932,0.9858,0.9549
baseline,3,0.9991,0.9966,0.9939,0.9764
baseline,4,0.9992,0.9961,0.9945,0.9736
baseline,5,0.9993,0.9964,0.9951,0.9755
baseline,6,0.9994,0.9964,0.9962,0.9753
baseline,7,0.9994,0.9965,0.9962,0.9764
baseline,8,0.9995,0.9965,0.9970,0.9767
baseline,9,0.9996,0.9968,0.9974,0.9784
baseline,10,0.9995,0.9966,0.9968,0.9771
baseline,11,0.9996,0.9968,0.9972,0.9787
baseline,12,0.9996,0.9966,0.9975,0.9771
baseline,13,0.9997,0.9968,0.9981,0.9785
baseline,14,0.9997,0.9965,0.9977,0.9762
baseline,15,0.9997,0.9965,0.9983,0.9765
baseline,16,0.9998,0.9964,0.9985,0.9756
baseline,17,0.9997,0.9960,0.9982,0.9734
baseline,18,0.9997,0.9958,0.9983,0.9712
baseline,19,0.9997,0.9954,0.9981,0.9688
baseline,20,0.9998,0.9955,0.9985,0.9694
baseline,21,0.9997,0.9955,0.9981,0.9701
baseline,22,0.9997,0.9952,0.9978,0.9679
baseline,23,0.9997,0.9954,0.9980,0.9686
baseline,24,0.9997,0.9956,0.9979,0.9701
baseline,25,0.9996,0.9955,0.9977,0.9697
baseline,26,0.9997,0.9953,0.9982,0.9680
baseline,27,0.9997,0.9955,0.9982,0.9696
baseline,28,0.9996,0.9952,0.9976,0.9677
random_nouns,0,0.8590,0.8513,0.6469,0.6276
random_nouns,1,0.9837,0.9602,0.9150,0.7911
random_nouns,2,0.9824,0.9654,0.9091,0.8231
random_nouns,3,0.9980,0.9895,0.9880,0.9365
random_nouns,4,0.9984,0.9894,0.9904,0.9354
random_nouns,5,0.9988,0.9892,0.9928,0.9343
random_nouns,6,0.9992,0.9905,0.9952,0.9421
random_nouns,7,0.9995,0.9930,0.9968,0.9567
random_nouns,8,0.9994,0.9926,0.9964,0.9546
random_nouns,9,0.9995,0.9931,0.9972,0.9579
random_nouns,10,0.9995,0.9937,0.9971,0.9611
random_nouns,11,0.9994,0.9934,0.9962,0.9596
random_nouns,12,0.9996,0.9942,0.9974,0.9642
random_nouns,13,0.9996,0.9939,0.9978,0.9625
random_nouns,14,0.9996,0.9932,0.9976,0.9585
random_nouns,15,0.9997,0.9935,0.9982,0.9603
random_nouns,16,0.9996,0.9929,0.9978,0.9568
random_nouns,17,0.9998,0.9930,0.9987,0.9571
random_nouns,18,0.9997,0.9922,0.9983,0.9522
random_nouns,19,0.9997,0.9924,0.9981,0.9537
random_nouns,20,0.9998,0.9917,0.9987,0.9495
random_nouns,21,0.9997,0.9919,0.9979,0.9500
random_nouns,22,0.9996,0.9916,0.9975,0.9481
random_nouns,23,0.9994,0.9916,0.9966,0.9485
random_nouns,24,0.9994,0.9908,0.9961,0.9435
random_nouns,25,0.9994,0.9908,0.9961,0.9436
random_nouns,26,0.9995,0.9903,0.9966,0.9407
random_nouns,27,0.9995,0.9903,0.9971,0.9402
random_nouns,28,0.9992,0.9893,0.9954,0.9343
single_chars,0,0.8623,0.8573,0.6702,0.6584
single_chars,1,0.9601,0.9453,0.8453,0.7836
single_chars,2,0.9587,0.9467,0.8415,0.7897
single_chars,3,0.9887,0.9779,0.9458,0.8922
single_chars,4,0.9898,0.9775,0.9507,0.8894
single_chars,5,0.9906,0.9776,0.9545,0.8890
single_chars,6,0.9934,0.9798,0.9671,0.8981
single_chars,7,0.9950,0.9842,0.9746,0.9182
single_chars,8,0.9948,0.9835,0.9737,0.9145
