strategy,layer,train_acc,test_acc,train_f1,test_f1
baseline,0,0.9845,0.9826,0.8289,0.8068
baseline,1,0.9984,0.9961,0.9754,0.9379
baseline,2,0.9988,0.9966,0.9803,0.9459
baseline,3,0.9995,0.9980,0.9921,0.9675
baseline,4,0.9995,0.9983,0.9922,0.9717
baseline,5,0.9997,0.9984,0.9944,0.9732
baseline,6,0.9997,0.9985,0.9948,0.9749
baseline,7,0.9998,0.9991,0.9965,0.9854
baseline,8,0.9998,0.9989,0.9970,0.9820
baseline,9,0.9998,0.9989,0.9965,0.9822
baseline,10,0.9998,0.9989,0.9960,0.9808
baseline,11,0.9998,0.9990,0.9973,0.9832
baseline,12,0.9998,0.9989,0.9962,0.9822
baseline,13,0.9998,0.9989,0.9972,0.9823
baseline,14,0.9998,0.9990,0.9975,0.9825
baseline,15,0.9999,0.9989,0.9978,0.9816
baseline,16,0.9999,0.9988,0.9975,0.9792
baseline,17,0.9999,0.9986,0.9976,0.9768
baseline,18,0.9999,0.9987,0.9983,0.9785
baseline,19,0.9998,0.9988,0.9963,0.9802
baseline,20,0.9998,0.9989,0.9974,0.9813
baseline,21,0.9998,0.9986,0.9964,0.9774
baseline,22,0.9997,0.9985,0.9951,0.9744
baseline,23,0.9998,0.9985,0.9965,0.9744
baseline,24,0.9998,0.9985,0.9969,0.9752
baseline,25,0.9997,0.9984,0.9955,0.9741
baseline,26,0.9997,0.9983,0.9953,0.9725
baseline,27,0.9998,0.9986,0.9964,0.9761
baseline,28,0.9998,0.9983,0.9966,0.9712
random_nouns,0,0.8463,0.8419,0.5455,0.5296
random_nouns,1,0.9965,0.9862,0.9521,0.8006
random_nouns,2,0.9975,0.9891,0.9642,0.8419
random_nouns,3,0.9996,0.9975,0.9946,0.9603
random_nouns,4,0.9997,0.9976,0.9961,0.9613
random_nouns,5,0.9997,0.9973,0.9954,0.9560
random_nouns,6,0.9998,0.9978,0.9974,0.9638
random_nouns,7,0.9999,0.9989,0.9984,0.9820
random_nouns,8,0.9999,0.9988,0.9980,0.9801
random_nouns,9,0.9998,0.9985,0.9974,0.9759
random_nouns,10,0.9998,0.9985,0.9971,0.9752
random_nouns,11,0.9998,0.9984,0.9971,0.9732
random_nouns,12,0.9998,0.9986,0.9969,0.9772
random_nouns,13,0.9998,0.9986,0.9975,0.9778
random_nouns,14,0.9998,0.9986,0.9962,0.9764
random_nouns,15,0.9998,0.9987,0.9970,0.9783
random_nouns,16,0.9998,0.9986,0.9973,0.9774
random_nouns,17,0.9999,0.9986,0.9981,0.9772
random_nouns,18,0.9998,0.9985,0.9965,0.9751
random_nouns,19,0.9998,0.9987,0.9977,0.9788
random_nouns,20,0.9998,0.9988,0.9977,0.9808
random_nouns,21,0.9999,0.9989,0.9983,0.9817
random_nouns,22,0.9998,0.9989,0.9972,0.9819
random_nouns,23,0.9998,0.9989,0.9973,0.9828
random_nouns,24,0.9998,0.9986,0.9974,0.9776
random_nouns,25,0.9998,0.9986,0.9974,0.9779
random_nouns,26,0.9998,0.9988,0.9974,0.9797
random_nouns,27,0.9999,0.9987,0.9981,0.9789
random_nouns,28,0.9998,0.9985,0.9971,0.9756
single_chars,0,0.8218,0.8225,0.5297,0.5299
single_chars,1,0.9923,0.9838,0.9055,0.8079
single_chars,2,0.9941,0.9862,0.9245,0.8285
single_chars,3,0.9994,0.9963,0.9915,0.9462
single_chars,4,0.9996,0.9964,0.9936,0.9470
single_chars,5,0.9996,0.9959,0.9941,0.9393
single_chars,6,0.9997,0.9959,0.9955,0.9396
single_chars,7,0.9997,0.9972,0.9962,0.9586
single_chars,8,0.9997,0.9969,0.9960,0.9532
single_chars,9,0.9997,0.9969,0.9951,0.9527
single_chars,10,0.9997,0.9967,0.9961,0.9501
single_chars,11,0.9997,0.9965,0.9957,0.9467
single_chars,12,0.9997,0.9964,0.9959,0.9450
single_chars,13,0.9997,0.9962,0.9950,0.9417
single_chars,14,0.9997,0.9960,0.9959,0.9402
single_chars,15,0.9996,0.9965,0.9947,0.9465
single_chars,16,0.9998,0.9966,0.9965,0.9475
single_chars,17,0.9997,0.9964,0.9962,0.9449
single_chars,18,0.9997,0.9963,0.9962,0.9444
single_chars,19,0.9997,0.9963,0.9961,0.9441
single_chars,20,0.9998,0.9964,0.9970,0.9454
single_chars,21,0.9997,0.9962,0.9958,0.9422
single_chars,22,0.9997,0.9959,0.9958,0.9388
single_chars,23,0.9997,0.9959,0.9958,0.9387
single_chars,24,0.9997,0.9958,0.9959,0.9366
single_chars,25,0.9998,0.9956,0.9970,0.9351
single_chars,26,0.9997,0.9956,0.9959,0.9346
single_chars,27,0.9998,0.9958,0.9971,0.9373
single_chars,28,0.9997,0.9956,0.9952,0.9337
all_same,0,1.0000,1.0000,1.0000,1.0000
all_same,1,1.0000,1.0000,1.0000,1.0000
all_same,2,1.0000,1.0000,1.0000,1.0000
all_same,3,1.0000,1.0000,1.0000,1.0000
all_same,4,1.0000,1.0000,1.0000,0.9999
all_same,5,1.0000,1.0000,1.0000,0.9999
all_same,6,1.0000,1.0000,1.0000,1.0000
all_same,7,1.0000,1.0000,1.0000,1.0000
all_same,8,1.0000,0.9999,1.0000,0.9999
all_same,9,1.0000,1.0000,1.0000,0.9999
all_same,10,1.0000,0.9999,1.0000,0.9999
all_same,11,1.0000,1.0000,1.0000,0.9999
all_same,12,1.0000,0.9999,1.0000,0.9999
all_same,13,1.0000,0.9998,1.0000,0.9997
all_same,14,1.0000,0.9999,1.0000,0.9998
all_same,15,1.0000,0.9999,1.0000,0.9999
all_same,16,1.0000,0.9999,1.0000,0.9999
all_same,17,1.0000,0.9999,1.0000,0.9998
all_same,18,1.0000,1.0000,1.0000,0.9999
all_same,19,1.0000,1.0000,1.0000,0.9999
all_same,20,1.0000,0.9998,1.0000,0.9998
all_same,21,1.0000,0.9998,1.0000,0.9997
all_same,22,1.0000,0.9999,1.0000,0.9998
all_same,23,1.0000,0.9999,1.0000,0.9999
all_same,24,1.0000,0.9999,1.0000,0.9999
all_same,25,1.0000,0.9999,1.0000,0.9998
all_same,26,1.0000,0.9998,1.0000,0.9997
all_same,27,1.0000,0.9998,1.0000,0.9997
all_same,28,1.0000,0.9991,0.9999,0.9987
numeric_vars,0,0.6316,0.6337,0.4461,0.4452
numeric_vars,1,0.9817,0.9763,0.8676,0.8291
numeric_vars,2,0.9893,0.9842,0.9141,0.8724
numeric_vars,3,0.9930,0.9892,0.9402,0.9062
numeric_vars,4,0.9945,0.9898,0.9516,0.9098
numeric_vars,5,0.9950,0.9896,0.9561,0.9083
numeric_vars,6,0.9961,0.9902,0.9652,0.9125
numeric_vars,7,0.9968,0.9917,0.9707,0.9246
numeric_vars,8,0.9970,0.9915,0.9730,0.9228
numeric_vars,9,0.9973,0.9923,0.9755,0.9286
numeric_vars,10,0.9973,0.9923,0.9757,0.9285
numeric_vars,11,0.9977,0.9930,0.9789,0.9344
