strategy,layer,train_acc,test_acc,train_f1,test_f1
baseline,0,0.9828,0.9814,0.9043,0.8926
baseline,1,0.9982,0.9935,0.9886,0.9564
baseline,2,0.9985,0.9938,0.9901,0.9583
baseline,3,0.9992,0.9967,0.9948,0.9775
baseline,4,0.9993,0.9964,0.9957,0.9757
baseline,5,0.9994,0.9963,0.9958,0.9748
baseline,6,0.9995,0.9965,0.9968,0.9760
baseline,7,0.9995,0.9967,0.9968,0.9777
baseline,8,0.9996,0.9964,0.9973,0.9755
baseline,9,0.9995,0.9967,0.9970,0.9777
baseline,10,0.9996,0.9969,0.9974,0.9788
baseline,11,0.9997,0.9965,0.9981,0.9763
baseline,12,0.9998,0.9966,0.9984,0.9767
baseline,13,0.9997,0.9961,0.9981,0.9738
baseline,14,0.9998,0.9965,0.9985,0.9761
baseline,15,0.9998,0.9966,0.9989,0.9771
baseline,16,0.9998,0.9962,0.9984,0.9743
baseline,17,0.9997,0.9959,0.9983,0.9723
baseline,18,0.9998,0.9959,0.9989,0.9723
baseline,19,0.9998,0.9953,0.9986,0.9679
baseline,20,0.9997,0.9953,0.9982,0.9681
baseline,21,0.9998,0.9952,0.9986,0.9676
baseline,22,0.9998,0.9952,0.9984,0.9677
baseline,23,0.9997,0.9952,0.9980,0.9678
baseline,24,0.9997,0.9950,0.9977,0.9660
baseline,25,0.9997,0.9951,0.9978,0.9665
baseline,26,0.9997,0.9952,0.9979,0.9673
baseline,27,0.9997,0.9950,0.9982,0.9663
baseline,28,0.9995,0.9942,0.9969,0.9611
random_nouns,0,0.8590,0.8512,0.6469,0.6276
random_nouns,1,0.9847,0.9611,0.9192,0.7963
random_nouns,2,0.9877,0.9680,0.9331,0.8276
random_nouns,3,0.9986,0.9914,0.9913,0.9466
random_nouns,4,0.9988,0.9903,0.9927,0.9407
random_nouns,5,0.9989,0.9900,0.9935,0.9384
random_nouns,6,0.9993,0.9904,0.9960,0.9406
random_nouns,7,0.9995,0.9921,0.9968,0.9508
random_nouns,8,0.9994,0.9915,0.9964,0.9473
random_nouns,9,0.9995,0.9923,0.9971,0.9524
random_nouns,10,0.9996,0.9922,0.9972,0.9513
random_nouns,11,0.9996,0.9917,0.9977,0.9490
random_nouns,12,0.9997,0.9931,0.9980,0.9570
random_nouns,13,0.9998,0.9927,0.9986,0.9549
random_nouns,14,0.9997,0.9926,0.9983,0.9541
random_nouns,15,0.9998,0.9933,0.9990,0.9586
random_nouns,16,0.9998,0.9938,0.9985,0.9613
random_nouns,17,0.9998,0.9931,0.9988,0.9570
