strategy,layer,train_acc,test_acc,train_f1,test_f1
baseline,0,0.9769,0.9748,0.7852,0.7631
baseline,1,0.9993,0.9956,0.9885,0.9306
baseline,2,0.9993,0.9968,0.9889,0.9487
baseline,3,0.9998,0.9986,0.9967,0.9765
baseline,4,0.9999,0.9987,0.9984,0.9784
baseline,5,0.9999,0.9990,0.9983,0.9828
baseline,6,0.9999,0.9990,0.9978,0.9842
baseline,7,0.9999,0.9990,0.9979,0.9840
baseline,8,0.9999,0.9988,0.9978,0.9797
baseline,9,0.9999,0.9990,0.9978,0.9827
baseline,10,0.9999,0.9989,0.9982,0.9814
baseline,11,0.9999,0.9988,0.9983,0.9796
baseline,12,0.9999,0.9987,0.9983,0.9790
baseline,13,0.9999,0.9987,0.9983,0.9784
baseline,14,0.9999,0.9987,0.9981,0.9781
baseline,15,0.9999,0.9986,0.9983,0.9767
baseline,16,0.9999,0.9985,0.9982,0.9750
baseline,17,0.9999,0.9984,0.9977,0.9731
baseline,18,0.9999,0.9985,0.9977,0.9750
baseline,19,0.9998,0.9982,0.9974,0.9713
baseline,20,0.9999,0.9981,0.9977,0.9686
baseline,21,0.9998,0.9984,0.9972,0.9732
baseline,22,0.9998,0.9985,0.9973,0.9755
baseline,23,0.9998,0.9984,0.9971,0.9745
baseline,24,0.9998,0.9985,0.9969,0.9748
baseline,25,0.9998,0.9985,0.9971,0.9749
baseline,26,0.9998,0.9985,0.9976,0.9748
baseline,27,0.9998,0.9984,0.9973,0.9741
baseline,28,0.9998,0.9984,0.9972,0.9739
baseline,29,0.9998,0.9985,0.9973,0.9749
baseline,30,0.9999,0.9984,0.9978,0.9740
baseline,31,0.9999,0.9984,0.9977,0.9746
baseline,32,0.9999,0.9983,0.9983,0.9728
random_nouns,0,0.7840,0.7778,0.5218,0.5020
random_nouns,1,0.9992,0.9866,0.9909,0.8338
random_nouns,2,0.9994,0.9909,0.9931,0.8851
random_nouns,3,0.9997,0.9975,0.9970,0.9682
random_nouns,4,0.9998,0.9982,0.9982,0.9769
random_nouns,5,0.9999,0.9982,0.9986,0.9769
random_nouns,6,0.9998,0.9983,0.9980,0.9782
random_nouns,7,0.9999,0.9984,0.9987,0.9787
random_nouns,8,0.9999,0.9984,0.9984,0.9790
random_nouns,9,0.9998,0.9983,0.9980,0.9779
random_nouns,10,0.9999,0.9981,0.9983,0.9761
random_nouns,11,0.9998,0.9979,0.9982,0.9730
random_nouns,12,0.9999,0.9977,0.9986,0.9704
random_nouns,13,0.9998,0.9976,0.9977,0.9694
random_nouns,14,0.9998,0.9977,0.9978,0.9703
random_nouns,15,0.9998,0.9973,0.9978,0.9652
random_nouns,16,0.9998,0.9970,0.9973,0.9618
random_nouns,17,0.9998,0.9970,0.9979,0.9607
random_nouns,18,0.9998,0.9971,0.9976,0.9627
random_nouns,19,0.9998,0.9968,0.9973,0.9582
random_nouns,20,0.9998,0.9965,0.9981,0.9544
random_nouns,21,0.9997,0.9974,0.9971,0.9664
random_nouns,22,0.9999,0.9976,0.9985,0.9688
random_nouns,23,0.9999,0.9975,0.9983,0.9675
random_nouns,24,0.9998,0.9973,0.9976,0.9658
random_nouns,25,0.9999,0.9975,0.9987,0.9677
random_nouns,26,0.9998,0.9974,0.9982,0.9664
random_nouns,27,0.9999,0.9973,0.9985,0.9660
random_nouns,28,0.9998,0.9971,0.9982,0.9633
random_nouns,29,0.9999,0.9975,0.9987,0.9683
random_nouns,30,0.9999,0.9975,0.9989,0.9676
random_nouns,31,0.9999,0.9974,0.9985,0.9662
random_nouns,32,0.9999,0.9969,0.9988,0.9608
single_chars,0,0.8186,0.8193,0.5286,0.5288
single_chars,1,0.9976,0.9873,0.9669,0.8334
single_chars,2,0.9988,0.9914,0.9836,0.8801
single_chars,3,0.9998,0.9974,0.9973,0.9622
