strategy,layer,train_acc,test_acc,train_f1,test_f1
baseline,0,0.9825,0.9807,0.9029,0.8898
baseline,1,0.9995,0.9941,0.9966,0.9598
baseline,2,0.9995,0.9949,0.9965,0.9654
baseline,3,0.9998,0.9978,0.9986,0.9849
baseline,4,0.9999,0.9981,0.9991,0.9868
baseline,5,0.9999,0.9982,0.9995,0.9876
baseline,6,0.9999,0.9983,0.9993,0.9883
baseline,7,0.9999,0.9979,0.9994,0.9855
baseline,8,0.9999,0.9982,0.9993,0.9879
baseline,9,0.9999,0.9979,0.9992,0.9860
baseline,10,0.9999,0.9979,0.9991,0.9856
baseline,11,0.9999,0.9980,0.9992,0.9864
baseline,12,0.9999,0.9976,0.9993,0.9835
baseline,13,0.9999,0.9975,0.9993,0.9831
baseline,14,0.9999,0.9972,0.9994,0.9812
baseline,15,0.9999,0.9973,0.9992,0.9813
baseline,16,0.9999,0.9972,0.9992,0.9808
baseline,17,0.9999,0.9970,0.9993,0.9795
baseline,18,0.9999,0.9972,0.9994,0.9812
baseline,19,0.9999,0.9970,0.9993,0.9798
baseline,20,0.9999,0.9968,0.9992,0.9783
baseline,21,0.9999,0.9967,0.9993,0.9775
baseline,22,0.9999,0.9968,0.9995,0.9784
baseline,23,0.9999,0.9966,0.9992,0.9770
baseline,24,0.9999,0.9966,0.9991,0.9771
baseline,25,0.9999,0.9965,0.9991,0.9763
baseline,26,0.9999,0.9963,0.9992,0.9747
baseline,27,0.9999,0.9964,0.9992,0.9756
baseline,28,0.9999,0.9960,0.9991,0.9730
baseline,29,0.9999,0.9962,0.9993,0.9746
baseline,30,0.9999,0.9963,0.9992,0.9751
baseline,31,0.9999,0.9962,0.9992,0.9743
baseline,32,0.9999,0.9961,0.9992,0.9736
random_nouns,0,0.8113,0.7959,0.6327,0.6030
random_nouns,1,0.9973,0.9592,0.9879,0.8146
random_nouns,2,0.9988,0.9769,0.9945,0.8918
random_nouns,3,0.9997,0.9935,0.9987,0.9686
random_nouns,4,0.9999,0.9942,0.9994,0.9721
random_nouns,5,0.9999,0.9948,0.9994,0.9750
random_nouns,6,0.9999,0.9948,0.9994,0.9749
random_nouns,7,0.9999,0.9944,0.9995,0.9728
random_nouns,8,0.9999,0.9944,0.9997,0.9729
random_nouns,9,0.9999,0.9939,0.9996,0.9709
random_nouns,10,0.9999,0.9932,0.9996,0.9672
random_nouns,11,0.9999,0.9928,0.9997,0.9655
random_nouns,12,1.0000,0.9920,0.9998,0.9618
random_nouns,13,0.9999,0.9917,0.9996,0.9605
random_nouns,14,0.9999,0.9909,0.9996,0.9563
random_nouns,15,0.9999,0.9898,0.9997,0.9511
random_nouns,16,0.9999,0.9896,0.9995,0.9502
random_nouns,17,0.9999,0.9893,0.9995,0.9490
random_nouns,18,0.9999,0.9892,0.9994,0.9486
random_nouns,19,0.9999,0.9884,0.9995,0.9445
random_nouns,20,0.9999,0.9880,0.9994,0.9428
random_nouns,21,0.9999,0.9896,0.9997,0.9504
random_nouns,22,0.9999,0.9896,0.9996,0.9504
random_nouns,23,0.9999,0.9895,0.9995,0.9500
random_nouns,24,0.9999,0.9893,0.9996,0.9492
random_nouns,25,0.9999,0.9888,0.9996,0.9468
random_nouns,26,0.9999,0.9888,0.9994,0.9467
random_nouns,27,0.9999,0.9887,0.9995,0.9462
random_nouns,28,0.9999,0.9880,0.9995,0.9429
random_nouns,29,0.9999,0.9883,0.9995,0.9445
random_nouns,30,0.9999,0.9891,0.9995,0.9477
random_nouns,31,0.9999,0.9889,0.9995,0.9467
random_nouns,32,0.9999,0.9885,0.9996,0.9448
single_chars,0,0.8606,0.8553,0.6694,0.6575
single_chars,1,0.9866,0.9617,0.9378,0.8233
single_chars,2,0.9943,0.9734,0.9714,0.8677
single_chars,3,0.9981,0.9891,0.9902,0.9421
single_chars,4,0.9982,0.9896,0.9906,0.9444
single_chars,5,0.9981,0.9899,0.9902,0.9455
single_chars,6,0.9981,0.9896,0.9903,0.9438
single_chars,7,0.9982,0.9890,0.9906,0.9406
single_chars,8,0.9982,0.9879,0.9907,0.9352
single_chars,9,0.9982,0.9880,0.9909,0.9355
single_chars,10,0.9982,0.9876,0.9909,0.9336
single_chars,11,0.9982,0.9869,0.9909,0.9294
single_chars,12,0.9982,0.9870,0.9906,0.9300
single_chars,13,0.9982,0.9861,0.9908,0.9256
single_chars,14,0.9982,0.9854,0.9907,0.9218
single_chars,15,0.9982,0.9852,0.9907,0.9209
single_chars,16,0.9982,0.9850,0.9908,0.9197
single_chars,17,0.9981,0.9841,0.9904,0.9158
single_chars,18,0.9982,0.9840,0.9905,0.9157
single_chars,19,0.9982,0.9835,0.9906,0.9125
single_chars,20,0.9982,0.9841,0.9906,0.9151
single_chars,21,0.9982,0.9835,0.9905,0.9114
single_chars,22,0.9982,0.9831,0.9906,0.9098
single_chars,23,0.9982,0.9832,0.9908,0.9097
single_chars,24,0.9983,0.9835,0.9911,0.9116
single_chars,25,0.9982,0.9832,0.9909,0.9094
single_chars,26,0.9983,0.9827,0.9910,0.9069
single_chars,27,0.9982,0.9826,0.9910,0.9064
single_chars,28,0.9983,0.9824,0.9913,0.9052
single_chars,29,0.9983,0.9822,0.9911,0.9039
single_chars,30,0.9983,0.9812,0.9913,0.8991
single_chars,31,0.9983,0.9806,0.9911,0.8971
single_chars,32,0.9982,0.9804,0.9909,0.8956
all_same,0,0.9997,0.9999,0.9995,0.9999
all_same,1,0.9999,0.9999,0.9998,0.9998
all_same,2,0.9999,0.9999,0.9999,0.9998
all_same,3,0.9999,0.9998,0.9999,0.9997
all_same,4,0.9999,0.9998,0.9999,0.9997
all_same,5,0.9999,0.9999,0.9999,0.9998
all_same,6,0.9999,0.9999,0.9999,0.9998
all_same,7,0.9999,0.9999,0.9998,0.9999
all_same,8,0.9999,0.9997,0.9999,0.9996
all_same,9,0.9999,0.9998,0.9999,0.9996
all_same,10,0.9999,0.9996,0.9999,0.9994
all_same,11,0.9999,0.9995,0.9999,0.9992
all_same,12,0.9999,0.9996,0.9999,0.9994
all_same,13,0.9999,0.9994,0.9999,0.9990
all_same,14,0.9999,0.9994,0.9999,0.9990
all_same,15,1.0000,0.9994,0.9999,0.9991
all_same,16,0.9999,0.9996,0.9999,0.9993
all_same,17,0.9999,0.9995,0.9999,0.9993
all_same,18,0.9999,0.9996,0.9999,0.9993
all_same,19,0.9999,0.9995,0.9999,0.9993
all_same,20,0.9999,0.9997,0.9999,0.9994
all_same,21,0.9999,0.9997,0.9999,0.9994
all_same,22,0.9999,0.9995,0.9999,0.9992
all_same,23,0.9999,0.9995,0.9999,0.9992
all_same,24,0.9999,0.9994,0.9999,0.9991
all_same,25,0.9999,0.9995,0.9999,0.9992
all_same,26,0.9999,0.9994,0.9999,0.9990
all_same,27,0.9999,0.9993,0.9999,0.9989
all_same,28,0.9999,0.9994,0.9999,0.9991
all_same,29,0.9999,0.9993,0.9999,0.9990
all_same,30,0.9999,0.9993,0.9999,0.9989
all_same,31,0.9999,0.9992,0.9999,0.9987
all_same,32,0.9999,0.9994,0.9999,0.9990
numeric_vars,0,0.6912,0.6857,0.5579,0.5492
numeric_vars,1,0.9713,0.9542,0.9086,0.8490
numeric_vars,2,0.9852,0.9670,0.9493,0.8836
numeric_vars,3,0.9938,0.9764,0.9778,0.9124
numeric_vars,4,0.9968,0.9772,0.9882,0.9146
numeric_vars,5,0.9982,0.9792,0.9934,0.9210
numeric_vars,6,0.9987,0.9794,0.9953,0.9216
numeric_vars,7,0.9991,0.9806,0.9967,0.9258
numeric_vars,8,0.9992,0.9793,0.9971,0.9211
numeric_vars,9,0.9993,0.9796,0.9973,0.9225
numeric_vars,10,0.9994,0.9797,0.9978,0.9224
numeric_vars,11,0.9995,0.9789,0.9980,0.9198
numeric_vars,12,0.9994,0.9790,0.9979,0.9199
numeric_vars,13,0.9996,0.9778,0.9983,0.9161
numeric_vars,14,0.9995,0.9776,0.9983,0.9149
numeric_vars,15,0.9995,0.9783,0.9980,0.9176
numeric_vars,16,0.9996,0.9785,0.9985,0.9178
numeric_vars,17,0.9996,0.9786,0.9984,0.9183
numeric_vars,18,0.9996,0.9804,0.9983,0.9255
numeric_vars,19,0.9996,0.9813,0.9986,0.9288
numeric_vars,20,0.9996,0.9811,0.9983,0.9276
numeric_vars,21,0.9996,0.9825,0.9985,0.9328
numeric_vars,22,0.9996,0.9829,0.9986,0.9347
numeric_vars,23,0.9996,0.9836,0.9984,0.9369
numeric_vars,24,0.9996,0.9837,0.9985,0.9373
numeric_vars,25,0.9996,0.9836,0.9984,0.9372
numeric_vars,26,0.9996,0.9831,0.9987,0.9350
numeric_vars,27,0.9995,0.9830,0.9983,0.9347
numeric_vars,28,0.9996,0.9826,0.9983,0.9333
numeric_vars,29,0.9996,0.9823,0.9985,0.9324
numeric_vars,30,0.9995,0.9821,0.9981,0.9314
numeric_vars,31,0.9996,0.9823,0.9986,0.9325
numeric_vars,32,0.9995,0.9817,0.9982,0.9304
misleading_iterator,0,0.9999,0.9997,0.9993,0.9984
misleading_iterator,1,1.0000,0.9997,1.0000,0.9981
misleading_iterator,2,1.0000,0.9997,1.0000,0.9984
misleading_iterator,3,1.0000,0.9995,1.0000,0.9976
misleading_iterator,4,1.0000,0.9996,1.0000,0.9977
misleading_iterator,5,1.0000,0.9995,1.0000,0.9975
misleading_iterator,6,1.0000,0.9996,1.0000,0.9977
misleading_iterator,7,1.0000,0.9996,1.0000,0.9980
misleading_iterator,8,1.0000,0.9996,1.0000,0.9977
