strategy,layer,train_acc,test_acc,train_f1,test_f1
baseline,0,0.9461,0.9464,0.7951,0.7937
baseline,1,0.9891,0.9782,0.9434,0.8878
baseline,2,0.9945,0.9828,0.9702,0.9076
baseline,3,0.9983,0.9861,0.9906,0.9239
baseline,4,0.9998,0.9874,0.9990,0.9312
baseline,5,0.9998,0.9881,0.9990,0.9344
baseline,6,0.9998,0.9907,0.9990,0.9476
baseline,7,1.0000,0.9888,1.0000,0.9376
baseline,8,1.0000,0.9861,1.0000,0.9249
baseline,9,1.0000,0.9841,1.0000,0.9179
baseline,10,1.0000,0.9854,1.0000,0.9228
baseline,11,1.0000,0.9861,1.0000,0.9249
baseline,12,1.0000,0.9868,1.0000,0.9299
baseline,13,1.0000,0.9854,1.0000,0.9247
baseline,14,1.0000,0.9854,1.0000,0.9238
baseline,15,1.0000,0.9841,1.0000,0.9125
baseline,16,1.0000,0.9868,1.0000,0.9271
baseline,17,1.0000,0.9848,1.0000,0.9156
baseline,18,1.0000,0.9861,1.0000,0.9219
baseline,19,1.0000,0.9854,1.0000,0.9187
baseline,20,1.0000,0.9828,1.0000,0.9064
baseline,21,1.0000,0.9815,1.0000,0.8992
baseline,22,1.0000,0.9821,1.0000,0.9009
baseline,23,1.0000,0.9861,1.0000,0.9229
baseline,24,1.0000,0.9861,1.0000,0.9208
baseline,25,1.0000,0.9881,1.0000,0.9317
baseline,26,1.0000,0.9874,1.0000,0.9284
baseline,27,1.0000,0.9854,1.0000,0.9176
baseline,28,1.0000,0.9788,1.0000,0.8849
random_nouns,0,0.9582,0.9616,0.8095,0.8191
random_nouns,1,0.9906,0.9808,0.9415,0.8889
random_nouns,2,0.9947,0.9863,0.9654,0.9158
random_nouns,3,0.9978,0.9877,0.9849,0.9254
random_nouns,4,0.9995,0.9897,0.9964,0.9343
random_nouns,5,0.9998,0.9918,0.9988,0.9479
random_nouns,6,0.9998,0.9897,0.9988,0.9353
random_nouns,7,0.9998,0.9884,0.9988,0.9255
random_nouns,8,1.0000,0.9884,1.0000,0.9243
random_nouns,9,1.0000,0.9884,1.0000,0.9255
random_nouns,10,1.0000,0.9890,1.0000,0.9244
random_nouns,11,1.0000,0.9856,1.0000,0.9017
random_nouns,12,1.0000,0.9829,1.0000,0.8887
random_nouns,13,1.0000,0.9822,1.0000,0.8852
random_nouns,14,1.0000,0.9836,1.0000,0.8940
random_nouns,15,1.0000,0.9815,1.0000,0.8836
random_nouns,16,1.0000,0.9829,1.0000,0.8922
random_nouns,17,1.0000,0.9842,1.0000,0.8941
random_nouns,18,1.0000,0.9863,1.0000,0.9102
random_nouns,19,1.0000,0.9863,1.0000,0.9102
random_nouns,20,1.0000,0.9842,1.0000,0.8993
random_nouns,21,1.0000,0.9863,1.0000,0.9102
random_nouns,22,1.0000,0.9877,1.0000,0.9178
random_nouns,23,1.0000,0.9897,1.0000,0.9310
random_nouns,24,1.0000,0.9890,1.0000,0.9244
random_nouns,25,1.0000,0.9877,1.0000,0.9164
random_nouns,26,1.0000,0.9863,1.0000,0.9072
random_nouns,27,1.0000,0.9836,1.0000,0.8886
random_nouns,28,1.0000,0.9747,1.0000,0.8405
single_chars,0,0.8743,0.8749,0.6588,0.6579
single_chars,1,0.9595,0.9489,0.8205,0.7846
single_chars,2,0.9782,0.9593,0.8866,0.8095
single_chars,3,0.9883,0.9763,0.9330,0.8744
single_chars,4,0.9950,0.9793,0.9692,0.8852
single_chars,5,0.9970,0.9800,0.9813,0.8868
single_chars,6,0.9980,0.9845,0.9870,0.9077
single_chars,7,0.9989,0.9830,0.9928,0.8973
single_chars,8,0.9987,0.9815,0.9917,0.8901
single_chars,9,0.9996,0.9852,0.9976,0.9114
