strategy,layer,train_acc,test_acc,train_f1,test_f1
baseline,0,0.9595,0.9612,0.8522,0.8563
baseline,1,0.9858,0.9824,0.9386,0.9241
baseline,2,0.9906,0.9850,0.9580,0.9332
baseline,3,0.9944,0.9877,0.9739,0.9440
baseline,4,0.9963,0.9878,0.9825,0.9447
baseline,5,0.9976,0.9887,0.9885,0.9466
baseline,6,0.9982,0.9895,0.9915,0.9511
baseline,7,0.9988,0.9904,0.9940,0.9549
baseline,8,0.9989,0.9907,0.9948,0.9562
baseline,9,0.9990,0.9904,0.9951,0.9551
baseline,10,0.9992,0.9903,0.9963,0.9542
baseline,11,0.9995,0.9899,0.9977,0.9523
baseline,12,0.9997,0.9899,0.9984,0.9520
baseline,13,0.9998,0.9908,0.9990,0.9561
baseline,14,0.9999,0.9900,0.9997,0.9527
baseline,15,1.0000,0.9895,1.0000,0.9502
baseline,16,1.0000,0.9905,1.0000,0.9552
baseline,17,1.0000,0.9914,1.0000,0.9589
baseline,18,1.0000,0.9897,1.0000,0.9512
baseline,19,1.0000,0.9881,1.0000,0.9436
baseline,20,1.0000,0.9876,1.0000,0.9408
baseline,21,1.0000,0.9884,1.0000,0.9444
baseline,22,1.0000,0.9874,1.0000,0.9402
baseline,23,1.0000,0.9873,1.0000,0.9408
baseline,24,1.0000,0.9885,1.0000,0.9458
baseline,25,1.0000,0.9884,1.0000,0.9441
baseline,26,1.0000,0.9896,1.0000,0.9500
baseline,27,1.0000,0.9899,1.0000,0.9507
baseline,28,1.0000,0.9861,1.0000,0.9348
random_nouns,0,0.8746,0.8732,0.7062,0.7028
random_nouns,1,0.9750,0.9620,0.9060,0.8626
random_nouns,2,0.9846,0.9692,0.9383,0.8820
random_nouns,3,0.9935,0.9824,0.9723,0.9262
random_nouns,4,0.9954,0.9831,0.9802,0.9294
random_nouns,5,0.9968,0.9826,0.9861,0.9255
random_nouns,6,0.9980,0.9817,0.9911,0.9218
random_nouns,7,0.9988,0.9842,0.9947,0.9331
random_nouns,8,0.9990,0.9817,0.9953,0.9231
random_nouns,9,0.9986,0.9838,0.9938,0.9319
random_nouns,10,0.9991,0.9833,0.9961,0.9277
random_nouns,11,0.9991,0.9834,0.9958,0.9289
random_nouns,12,0.9992,0.9845,0.9964,0.9333
random_nouns,13,0.9995,0.9834,0.9980,0.9285
random_nouns,14,0.9995,0.9820,0.9980,0.9230
random_nouns,15,0.9999,0.9830,0.9994,0.9272
random_nouns,16,1.0000,0.9819,0.9998,0.9225
random_nouns,17,0.9999,0.9831,0.9995,0.9276
random_nouns,18,1.0000,0.9826,0.9998,0.9249
random_nouns,19,0.9999,0.9823,0.9997,0.9238
random_nouns,20,0.9999,0.9813,0.9997,0.9197
random_nouns,21,0.9999,0.9845,0.9997,0.9323
random_nouns,22,1.0000,0.9831,0.9998,0.9270
random_nouns,23,1.0000,0.9809,0.9998,0.9180
random_nouns,24,1.0000,0.9831,0.9998,0.9262
random_nouns,25,1.0000,0.9805,0.9998,0.9153
random_nouns,26,1.0000,0.9805,0.9998,0.9149
random_nouns,27,1.0000,0.9809,0.9998,0.9168
random_nouns,28,0.9999,0.9802,0.9997,0.9163
single_chars,0,0.8700,0.8722,0.7134,0.7156
single_chars,1,0.9389,0.9287,0.8241,0.7951
single_chars,2,0.9574,0.9405,0.8658,0.8152
single_chars,3,0.9805,0.9669,0.9304,0.8815
single_chars,4,0.9839,0.9666,0.9411,0.8782
single_chars,5,0.9866,0.9689,0.9502,0.8848
single_chars,6,0.9896,0.9734,0.9605,0.8997
single_chars,7,0.9937,0.9767,0.9753,0.9107
single_chars,8,0.9927,0.9763,0.9717,0.9106
single_chars,9,0.9931,0.9777,0.9732,0.9149
single_chars,10,0.9941,0.9758,0.9770,0.9090
single_chars,11,0.9922,0.9735,0.9699,0.9000
single_chars,12,0.9933,0.9742,0.9739,0.9033
single_chars,13,0.9942,0.9749,0.9773,0.9037
single_chars,14,0.9944,0.9742,0.9780,0.9015
single_chars,15,0.9943,0.9734,0.9777,0.8984
single_chars,16,0.9946,0.9725,0.9788,0.8967
single_chars,17,0.9942,0.9718,0.9772,0.8938
single_chars,18,0.9946,0.9717,0.9790,0.8936
single_chars,19,0.9943,0.9700,0.9778,0.8876
single_chars,20,0.9938,0.9720,0.9760,0.8938
single_chars,21,0.9957,0.9704,0.9832,0.8885
single_chars,22,0.9964,0.9701,0.9858,0.8872
single_chars,23,0.9936,0.9672,0.9751,0.8786
single_chars,24,0.9967,0.9665,0.9869,0.8738
single_chars,25,0.9974,0.9659,0.9897,0.8713
single_chars,26,0.9956,0.9639,0.9826,0.8662
single_chars,27,0.9984,0.9629,0.9938,0.8632
single_chars,28,0.9943,0.9615,0.9778,0.8580
all_same,0,0.9998,0.9996,0.9996,0.9993
all_same,1,1.0000,0.9999,0.9999,0.9998
all_same,2,1.0000,0.9996,0.9999,0.9993
all_same,3,1.0000,1.0000,1.0000,1.0000
all_same,4,1.0000,0.9999,1.0000,0.9998
all_same,5,1.0000,0.9999,1.0000,0.9998
all_same,6,1.0000,0.9999,0.9999,0.9998
all_same,7,1.0000,0.9999,1.0000,0.9998
all_same,8,1.0000,0.9999,1.0000,0.9998
all_same,9,1.0000,1.0000,1.0000,1.0000
all_same,10,1.0000,1.0000,1.0000,1.0000
all_same,11,1.0000,1.0000,1.0000,1.0000
all_same,12,1.0000,1.0000,1.0000,1.0000
all_same,13,1.0000,1.0000,1.0000,1.0000
all_same,14,1.0000,1.0000,1.0000,1.0000
all_same,15,1.0000,1.0000,1.0000,1.0000
all_same,16,1.0000,1.0000,1.0000,1.0000
all_same,17,1.0000,1.0000,1.0000,1.0000
all_same,18,1.0000,1.0000,1.0000,1.0000
all_same,19,1.0000,1.0000,1.0000,1.0000
all_same,20,1.0000,0.9997,1.0000,0.9996
all_same,21,1.0000,0.9997,1.0000,0.9996
all_same,22,1.0000,0.9999,1.0000,0.9998
all_same,23,1.0000,0.9999,1.0000,0.9998
all_same,24,1.0000,0.9997,1.0000,0.9996
all_same,25,1.0000,0.9997,1.0000,0.9996
all_same,26,1.0000,0.9994,1.0000,0.9991
all_same,27,1.0000,0.9996,1.0000,0.9993
all_same,28,1.0000,0.9994,1.0000,0.9991
numeric_vars,0,0.6988,0.6959,0.5980,0.5955
numeric_vars,1,0.9113,0.9008,0.8171,0.7960
numeric_vars,2,0.9334,0.9234,0.8537,0.8313
numeric_vars,3,0.9495,0.9391,0.8839,0.8589
numeric_vars,4,0.9541,0.9407,0.8930,0.8613
numeric_vars,5,0.9578,0.9425,0.9005,0.8641
numeric_vars,6,0.9621,0.9454,0.9096,0.8695
numeric_vars,7,0.9655,0.9469,0.9167,0.8715
numeric_vars,8,0.9671,0.9499,0.9201,0.8772
numeric_vars,9,0.9688,0.9514,0.9238,0.8789
numeric_vars,10,0.9697,0.9510,0.9258,0.8797
numeric_vars,11,0.9715,0.9493,0.9297,0.8755
numeric_vars,12,0.9753,0.9496,0.9383,0.8758
numeric_vars,13,0.9743,0.9499,0.9361,0.8750
numeric_vars,14,0.9754,0.9486,0.9386,0.8720
numeric_vars,15,0.9758,0.9499,0.9395,0.8739
numeric_vars,16,0.9785,0.9516,0.9456,0.8777
numeric_vars,17,0.9795,0.9515,0.9480,0.8774
numeric_vars,18,0.9808,0.9528,0.9510,0.8797
numeric_vars,19,0.9801,0.9569,0.9495,0.8892
numeric_vars,20,0.9807,0.9568,0.9509,0.8869
numeric_vars,21,0.9812,0.9540,0.9521,0.8819
numeric_vars,22,0.9811,0.9543,0.9519,0.8831
numeric_vars,23,0.9812,0.9542,0.9520,0.8829
numeric_vars,24,0.9833,0.9552,0.9570,0.8845
numeric_vars,25,0.9820,0.9549,0.9540,0.8834
numeric_vars,26,0.9820,0.9552,0.9540,0.8847
numeric_vars,27,0.9836,0.9547,0.9577,0.8825
numeric_vars,28,0.9799,0.9558,0.9491,0.8872
misleading_index_key,0,0.9981,0.9986,0.9922,0.9943
misleading_index_key,1,0.9999,0.9999,0.9997,0.9994
misleading_index_key,2,1.0000,0.9996,1.0000,0.9983
misleading_index_key,3,1.0000,0.9997,1.0000,0.9988
misleading_index_key,4,1.0000,0.9996,1.0000,0.9983
misleading_index_key,5,1.0000,0.9996,1.0000,0.9983
misleading_index_key,6,1.0000,0.9997,1.0000,0.9988
misleading_index_key,7,1.0000,0.9997,1.0000,0.9988
misleading_index_key,8,1.0000,0.9996,1.0000,0.9983
misleading_index_key,9,1.0000,0.9996,1.0000,0.9983
misleading_index_key,10,1.0000,0.9997,1.0000,0.9988
misleading_index_key,11,1.0000,0.9994,1.0000,0.9977
misleading_index_key,12,1.0000,0.9996,1.0000,0.9983
misleading_index_key,13,1.0000,0.9996,1.0000,0.9983
misleading_index_key,14,1.0000,0.9996,1.0000,0.9983
misleading_index_key,15,1.0000,0.9996,1.0000,0.9983
misleading_index_key,16,1.0000,0.9997,1.0000,0.9988
misleading_index_key,17,1.0000,0.9996,1.0000,0.9983
misleading_index_key,18,1.0000,0.9996,1.0000,0.9983
misleading_index_key,19,1.0000,0.9996,1.0000,0.9983
misleading_index_key,20,1.0000,0.9993,1.0000,0.9971
misleading_index_key,21,1.0000,0.9994,1.0000,0.9977
misleading_index_key,22,1.0000,0.9993,1.0000,0.9971
misleading_index_key,23,1.0000,0.9996,1.0000,0.9983
misleading_index_key,24,1.0000,0.9993,1.0000,0.9971
misleading_index_key,25,1.0000,0.9993,1.0000,0.9971
misleading_index_key,26,1.0000,0.9989,1.0000,0.9953
misleading_index_key,27,1.0000,0.9986,1.0000,0.9942
misleading_index_key,28,1.0000,0.9990,1.0000,0.9959
