strategy,layer,train_acc,test_acc,train_f1,test_f1
baseline,0,0.9834,0.9842,0.8927,0.8966
baseline,1,0.9970,0.9969,0.9766,0.9758
baseline,2,0.9977,0.9977,0.9818,0.9822
baseline,3,0.9988,0.9977,0.9905,0.9820
baseline,4,0.9994,0.9989,0.9949,0.9909
baseline,5,0.9999,0.9983,0.9989,0.9865
baseline,6,0.9999,0.9986,0.9989,0.9886
baseline,7,0.9999,0.9992,0.9994,0.9932
baseline,8,0.9999,0.9989,0.9994,0.9909
baseline,9,0.9999,0.9992,0.9994,0.9931
baseline,10,0.9999,0.9986,0.9994,0.9886
baseline,11,0.9999,0.9986,0.9994,0.9886
baseline,12,0.9999,0.9986,0.9994,0.9886
baseline,13,1.0000,0.9992,1.0000,0.9931
baseline,14,1.0000,0.9992,1.0000,0.9932
baseline,15,1.0000,0.9992,1.0000,0.9931
baseline,16,1.0000,0.9992,1.0000,0.9932
baseline,17,1.0000,0.9989,1.0000,0.9909
baseline,18,1.0000,0.9994,1.0000,0.9954
baseline,19,1.0000,0.9992,1.0000,0.9931
baseline,20,1.0000,0.9992,1.0000,0.9931
baseline,21,1.0000,0.9992,1.0000,0.9931
baseline,22,1.0000,0.9997,1.0000,0.9977
baseline,23,1.0000,0.9994,1.0000,0.9954
baseline,24,1.0000,0.9992,1.0000,0.9932
baseline,25,1.0000,0.9997,1.0000,0.9977
baseline,26,1.0000,0.9992,1.0000,0.9931
baseline,27,1.0000,0.9994,1.0000,0.9954
baseline,28,1.0000,0.9992,1.0000,0.9932
baseline,29,1.0000,0.9986,1.0000,0.9887
baseline,30,1.0000,0.9992,1.0000,0.9931
baseline,31,1.0000,0.9989,1.0000,0.9909
baseline,32,1.0000,0.9992,1.0000,0.9932
baseline,33,1.0000,0.9994,1.0000,0.9954
baseline,34,1.0000,0.9989,1.0000,0.9909
baseline,35,1.0000,0.9992,1.0000,0.9932
baseline,36,1.0000,0.9986,1.0000,0.9888
random_nouns,0,0.8857,0.9011,0.6623,0.6837
random_nouns,1,0.9898,0.9849,0.9356,0.8991
random_nouns,2,0.9933,0.9864,0.9558,0.9059
random_nouns,3,0.9946,0.9894,0.9639,0.9235
random_nouns,4,0.9996,0.9979,0.9968,0.9852
random_nouns,5,0.9999,0.9985,0.9995,0.9893
